EventId,EventTemplate,Occurrences
a3b36b17,BcmCmMultiUsHelper:: TargetNextDocs3CandidateUcid: ( Cm Multi US Helper ) state at entry:,58
839dfada,"Channel targeting:, Downstream:, fTargetDsFreqHz = <*> ( <*> ), fCurrentDsFreqHz = <*> ( <*> ), fStoredDsFreqHz = <*> ( <*> ), Upstream:, fDestSingleTxTargetUsChanId = <*> ( <*> ), fTargetingContext = <*> ( <*> )",58
ea0c44c6,"Startup UCD Selection Info:, low priority candidate ucid list = <*>, happy home ucid set = <*>",58
a7bced51,"BcmCmMultiUsHelper:: TargetNextDocs3CandidateUcid: ( Cm Multi US Helper ), starting docs3 upstream initialization on target ucid= <*>, with upstream phy type <*> on hardware transmitter index <*>",58
2c4b5662,BcmCmUsChan:: ExecuteTccCmd: hwTxId= <*> docs ucid= <*>,1063
1707db33,BcmDocsisCmHalIf:: SetPrimarySid: ( DOCSIS CableModem HalIf ) Setting the Startup SID to <*>,109
7723fefc,BcmCmUsChan:: InstallUsSets: Installing UCD w/ucid for UCID= <*> for CM hardware tx chan <*>,946
4601cd72,BcmCmUsSetsState:: InstallUsSets: Inserting minimum required kDataProfileIuc13 into empty OFDMA upstream profile assignments,40
3cc9c8d4,"SetTXFreqOfdmInt for OFDM channel <*> - ffreq: <*>, Fclk_us_pll is <*>",1
8752b505,Setting FCW_SRC for OFDM channel <*> to use DS_FCW,1
ba3674b9,"Diplexer US= <*> MHz, best match pre-eq coeff is <*> MHz @ <*>",3
fa155d05,BcmCmUsSetsState:: TestAndLaunchUsTimeSync: starting upstream time sync acquisition...,1032
d8762fd3,BcmCmMultiUsHelper:: UsTimeRefOk: ( Cm Multi US Helper ) target hwTxId= <*>,1304
98f9d9e9,BcmCmUsChan:: UsTimeRefOk: upstream time sync acquired for fHwTxId= <*>,988
836cedea,"== Beginning initial ranging for Docsis UCID <*> ==, Minimum transmit power is <*> dBmV, Maximum transmit power is <*> dBmV, <*> <*> <*> <*> <*> <*> <*> <*> dBmV, Using <*> <*> <*> initial upstream power = <*> dBmV hwTxId = <*> docsis UCID = <*>",56
26239a1f,"Primary Channel: <*>, Interleave depth: <*>, QAM_Mode: <*>, AnnexMode: <*>",464
9ed2dac9,RNG-RSP UsChanId= <*> Adj: tim= <*> power= <*> Stat= <*>,34
f4b38f35,RNG-RSP UsChanId= <*> Adj: power= <*> Stat= <*>,93
7511ac2a,RNG-RSP UsChanId= <*> Stat= <*>,1387
0522a03c,"BcmCmDocsisCtlThread:: FirstRngSuccess: ( CmDocsisCtlThread ), first RNG-RSP w/status== SUCCESS for hwTxId= <*> and DOCSIS ucid= <*>",538
1f6e38b0,"BcmCmDocsisCtlThread:: ConfigureAndStartIpInit: ( CmDocsisCtlThread ) Beginning IP initialization., Utilizing configured MDD IP initialization parameters",49
c3ca8db6,== Starting IP Initialization in IPv4 Only provisioning mode ==,49
77571412,"BcmEcosIpHalIf:: FlushDefaultIPv6Routers: ( IP Stack1 HalIf ) Flushing default IPv6 routers, CmSnmpAgent:: ResetSyslogServerEvent for Vendor CM Agent w/ BRCM Factory Support",49
7554a71f,Logging event: Honoring MDD; IP provisioning mode = IPv4,49
a7da5e21,Configuring IP stack <*>: IP Address = <*>,45
12030668,Logging event: DHCP WARNING - Non-critical field invalid in response ; CM-MAC= <*>; CMTS-MAC= <*>; CM-QOS= <*>; CM-VER= <*>;,45
b49568ad,CM successfully pushed IP <*> to eRouter,45
90387ea2,Initiating TFTP over IPv4 in IPv4 only provisioning mode,45
61413b1c,Starting Time Of Day...,45
0afd1214,BcmCmDocsisIpThread:: StartTod: ( CmDocsisIpThread ) WARNING - Failed to get IPv4 Time Offset value!,45
d2549774,BcmDocsisTimeOfDayThread:: SetTodServerIpAddress: ( Time Of Day Thread ) ToD servers: <*>,45
3bb085c8,Connecting to ToD server <*>...,46
b96a7aa0,Sending UDP ToD request to server...,46
eb03da30,Using siaddr or option <*> for TFTP server.,45
6e091df5,Starting Tftp of configuration file...,45
f1ffba11,TFTP server index <*> IP: <*>,45
8d309c7e,Opening file <*> on <*> for <*>,90
32e779ef,Tftp Client:: Send: ( Tftp Client ) TFTP blocksize value returned by server: <*>,45
3946d7e4,Tftp transfer complete!,45
d23beac2,"TFTP Settings:, Stack Interface = <*>, Server Ip Address = <*>, Server Port Number = <*>, Block size = <*>, Total Blocks Read = <*>, Total Bytes Read = <*>",45
b25e3fe3,Config file was read! IP Initialization completed...,45
448ea9eb,CM cfg file: <*> cm.bin,45
82fa43d3,MAX CPE per CM is being set to <*>,45
44982e72,BcmDocsisCfgVarBindEngine:: AddVarBind: ( CfgVB Thread ) Adding varbinds...,45
60f3e349,UTC returned by ToD server <*>; UTC offset <*>,45
3093fc36,Current system time -> <*>,45
11f3ee74,System start time -> <*>,45
40e2c736,"Time Of Day completed..., DefaultSnmpAgentClass:: SystemTimeChangeEvent for Vendor CM Agent w/ BRCM Factory Support",45
4d192f71,BcmDocsisCfgVarBindEngine:: Process: ( CfgVB Thread ) Vendor CM Agent w/ BRCM Factory Support processing <*> TLV- <*>'s,45
9bf498ee,BcmDocsisCfgVarBindEngine:: ProcessViaBfc: ( CfgVB Thread ) Processing <*> VBs via BFC,45
0aec9eec,BcmDocsisCfgVarBindEngine:: Process: ( CfgVB Thread ) <*> TLV- <*>'s OK.,45
9b9dd61f,Starting TFTP of eRouter configuration file!,45
a36bfa5b,EROUTER I.P Address: <*>,45
8ca544e8,Config File Name: eroutercfg.bin,45
3c180cfe,Contents of EROUTER Config File:,45
a335b9cb,Tftp transfer eRouter configuration file open successful!,45
bfa0c3e9,Tftp transfer eRouter configuration file is complete!,45
93c5a6e1,eRouter configuration is complete.,45
cdeaa5f1,eRouter Linux WAN MAC address: <*>,1
4cf76ffe,RouterProxySnmpAgent discovering router side interfaces from RG.,1
24ffa964,eRouter config is complete.,1
0cfaa855,"Verifying RG ifTable stability..., <*> <*> <*>",1
5dffc523,Verifying ifTable size matches ifNumber...,1
14c31e74,"ifNumber = <*>, ifTable entries = <*>, <*>: Ethernet CPE Interface ( eth0 ), <*>: Ethernet CPE Interface ( eth1 ), <*>: Ethernet CPE Interface ( eth2 ), <*>: Ethernet CPE Interface ( eth3 )",1
1ba7348b,RouterProxySnmpAgent removing proxy_wifiMgmtGroup...,1
fc51effc,RouterProxySnmpAgent removing proxy_wifiHotspotMibGroup...,1
098b3c58,RouterProxySnmpAgent removing proxy_ieee802dot11Group...,1
4d23ca6f,WARNING - Couldn't find group <*> on Vendor CM Agent w/ BRCM Factory Support,1
657b9bd8,WARNING - Couldn't find group <*> on eRouter Proxy Agent,1
f60c91a1,RouterProxySnmpAgent removing proxy_ieee802dot11MgmtGroup...,1
3517549c,RouterProxySnmpAgent removing proxy_clabWIFIMibGroup...,1
120748d2,RouterProxySnmpAgent removing proxy_wifiFactoryGroup...,1
fd0e3ad2,RouterProxySnmpAgent removing proxy_moca11Group...,1
a0691e85,Done with RG interface discovery.,1
257fa73b,BcmCmDocsisCtlThread:: ResumePreRegSequence: ( CmDocsisCtlThread ) Enabling forwarding from IP stack to CPE interfaces.,45
813fa1e9,Sending a REG-REQ to the CMTS...,45
c0d28261,REG-REQ init reason = <*> ( <*> ),45
39b3c535,Applying legacy rules for copying cfg file TLVs to REG-REQ...,45
1407f2fe,BcmCmDocsisCtlThread:: RegRspMsgEvent: ( CmDocsisCtlThread ) Received a REG-RSP-MP message from the CMTS...,184
8b1a9771,BcmCmDocsisCtlThread:: RegRspMsgEvent: ( CmDocsisCtlThread ) Waiting for more REG-RSP-MP fragments...,135
93ff8110,BcmCmDocsisCtlThread:: RegRspMsgEvent: ( CmDocsisCtlThread ) We registered with a DOCSIS <*> config file!,45
7a2b7d00,"BcmCmDocsisCtlThread:: InstallDocsis11RegRspConfig: ( CmDocsisCtlThread ), REG-RSP/MP specifies ranging for all active us chan via tcc cmds. -> Stop tx.",41
ce7f59c1,"Receive Channel Config:, Primary DS channel assignment vector: <*>, Non-primary DS channel assignment vector: <*>",4
72d84456,BcmBfcForwardAssistManager:: OperatingConfigBitsEnable: ( Forward Assist Manager ) New Config = <*>,161
07c38554,"BcmCmDocsisCtlThread:: DetectRccInstallDone: ( CmDocsisCtlThread ), RCC installation finished. all ds chans ok.",47
968c1262,"BcmCmDocsisCtlThread:: ResumeDocs11RegAfterRccOutcome: ( CmDocsisCtlThread ), Resuming registration sequence after waiting for RCC installation outcome.",45
767143a6,activeTransmitterIndexBitmask = <*>,56
3beceb77,Number of active <*> US channels = <*>,112
7533764b,"BcmCmMultiUsHelper:: PhiQtrDb: ( Cm Multi US Helper ), Phi qtr dB set to : <*> ( <*> dB )",43
76d59487,"BcmCmMultiUsHelper:: DynamicRangeWindowQtrDb: ( Cm Multi US Helper ), Dynamic Range Window set to: <*> ( <*> dB )",166
0878f5db,"BcmCmUsChan:: TccChangeCmd(), CM tx chan <*> starting TCC change command., == TCC command ==, TCC ref id = <*>, action = <*> ( <*> ), us chan id = <*>, new us chan id = <*> ( not specified ), ranging sid = <*>, ranging strategy = <*> ( <*> ), dyn ranging window = <*> ( not specified ), Assigned OFDMA Data Profile IUCs = <*>, data profile testing SID = <*>, rng mode ( CM spec ) = <*> ( not specified ), UCD = ( not specified ), ranging params = ( not specified ), TCC error = ( not specified )",28
0eaec5df,BcmCmUsChan:: TccChangeCmd: TCC changed upstream profile assignments,28
4cd6d01b,BcmCmUsChan:: InstallOfdmaDataProfileTestingSID: OFDMA testing SID: <*>,38
506ae72a,Logging event: <*> profile assignment change. <*> Chan ID: <*>; Previous Profile: <*> New Profile: <*>.; CM-MAC= <*>; CMTS-MAC= <*>; CM-QOS= <*>; CM-VER= <*>;,76
02a01407,"BcmCmUsChan:: TccRangeCmd(), CM tx chan <*> starting TCC range command..., == TCC command ==, TCC ref id = <*>, action = <*> ( <*> ), us chan id = <*>, new us chan id = <*> ( not specified ), ranging sid = <*> ( not specified ), ranging strategy = <*> ( <*> ), dyn ranging window = <*> ( not specified ), rng mode ( CM spec ) = <*>, UCD = ( not specified ), ranging params = ( not specified ), TCC error = ( not specified )",59
ac7dd68f,PNMTestDriver:: ThreadEndTest: ( PNM Test Driver ) No PNM test running,163
53a063b8,"== Beginning initial ranging for Docsis UCID <*> ==, Minimum transmit power is <*> dBmV, Maximum transmit power is <*> dBmV, Dynamic Range Window is from <*>dBmV to <*> dBmV, Stored power level for UCID <*> is <*> dBmV, <*> <*> <*> power level of <*> dBmV is less than the min transmit power level. Setting power level to min., Using clamped minimum transmit power initial upstream power = <*> dBmV hwTxId = <*> docsis UCID = <*>",122
40c12152,RNG-RSP UsChanId= <*> Adj: tim= <*> power= <*> Stat= <*> ( CmdPwr ( UsChanId-dBmV ): <*> ),368
ddea7874,RNG-RSP UsChanId= <*> Adj: freq= <*> Stat= <*>,129
74b7d1d3,RNG-RSP UsChanId= <*> Adj: power= <*> Stat= <*> ( CmdPwr ( UsChanId-dBmV ): <*> ),4610
e267209c,RNG-RSP UsChanId= <*> Adj: tim= <*> Stat= <*>,202
833ffe3d,"BcmCmDocsisCtlThread:: DetectTccInstallDone: ( CmDocsisCtlThread ), resume registration sequence.",41
55b30368,"BcmCmDocsisCtlThread:: ResumeRegAfterTccOutcome: ( CmDocsisCtlThread ), Resuming registration sequence after waiting for TCC installation outcome.",45
bb4437e4,Registration complete!,41
7d24a8e5,Process CVC,41
7adc23fe,BcmBfcProcessCvc:: ProcessConfigFileManufAndCosignerCvcs: ( Process CVC ) WARNING - No CVC included in config file; software upgrade can't be performed!,41
f14fdef0,BPKM disabled via provisioned config file setting.,41
bd6df2e3,DS channel status rxid <*> dcid <*> freq <*> qam <*> fec <*> snr <*> power <*> mod <*>,1358
6e45cf29,US channel status txid <*> ucid <*> dcid <*> rngsid <*> power <*> freqstart <*> freqend <*> symrate <*> phytype <*> txdata <*>,454
56688f8c,"Dynamic range window top: <*> dBmV, bottom: <*> dBmV",51
424aabc0,Calculated Phi value: <*> dBmV,51
35f6d8f4,Enabling network access for all CPE ports.,41
5ee605b7,Multicast Dsid Forwarding Mode: GMAC Promiscuous,41
457d4bbc,BcmIgmpThread:: Stopping Igmp Thread...: ( IGMP Thread ),81
20ef9fff,Installing <*> DSID = <*> ( <*> ) index = <*>,82
b4a1c2e6,"NumDsChans = <*>, NumUsChans = <*>",226
814b90ae,Informing HAL of current RF configuration.,61
c5949648,D31PowerSave 'On',61
0208115b,Storing off OFDM DS MAC settings for channel <*>,61
37994930,"Storing off OFDM DS MAC settings for channel <*>, DS: <*> SC-QAM ( <*> ), <*> OFDM ( <*> ), US: <*> SC-QAM ( <*> ), <*> OFDMA ( <*> )",61
109da36b,"CmSnmpAgent operating in <*> mode, including docsQos",41
b8005468,"No UDC's, IP filters OK.",41
a377766c,"No DH kickstart profiles or snmpCommunityTable entries installed., We will operate in NMACCESS mode.",41
a03fadfa,Enabling SNMP link status checking.,41
5293d7b1,misc_dqnet_status ifname cm0 up,41
40f948ae,Add eRouter MAC <*> to CM multicast table for IPv6 provision.,41
683eae25,Vendor CM Agent w/ BRCM Factory Support updating ifTableLastChange.,139
31bfbf8f,PnmTestDriveACT - event code <*> Clearing kPnmStatusTempReject,56
f9a64d8e,All IP initialization complete and CM operational. Enabling IP services.,41
d806d851,CmSnmpAgent enabling management,41
9e6cf8f6,BcmCmMacDomainSetsState:: MddMsgEvent: on-the-fly MDD change.,10
16720b0f,FirstRngRsp <*> - adjustment was <*>,22
7ab70722,Clearing D31 PowerSave.,57
f0bc0de1,"D31PowerSave 'Off', DS: <*> SC-QAM ( <*> ), <*> OFDM ( <*> ), US: <*> SC-QAM ( <*> ), <*> OFDMA ( <*> )",57
594a8f8e,Restoring OFDM DS MAC settings,55
a82bff10,Initializing Quarantine D31 DS MAC structures to <*>,55
ed645a0e,"BcmCmDocsisCtlThread:: DbcReqMsgEvent: ( CmDocsisCtlThread ), DBC-REQ specifies ranging for all active us chan via tcc cmds. -> Stop tx.",3
43cbcc1f,"Receive Channel Config:, Primary DS channel assignment vector: <*>, Non-primary DS channel assignment vector: <*>, OFDM profile assignments:, <*> -> <*>",42
b7439fd0,BcmCmDsChanOfdm:: DsLockOk: ( BcmCmDsChanOfdm ) hwRxId= <*> freq= <*> dcid= <*> PLC found,68
77975afa,BcmCmDsChanOfdm:: StartOcdDpdGathering: ( BcmCmDsChanOfdm ) starting OCD/DPD gathering on PLC,68
ef5e2809,OCD/DPD Filtering being configured for hwRxId= <*> -> filter enable = <*>,82
db541d05,BcmCmUsRangingState:: RngRspMsgEvent: WARNING - Received a RNG-RSP when we weren't expecting one! Ignoring... hwTxId= <*> docs ucid= <*>,2
fab15074,BcmCmDsChanOfdm:: DpdSetsRx: ( BcmCmDsChanOfdm ) Received DPD on hwRxId= <*> dcid= <*> for assigned Profile <*>,202
b8daca12,BcmCmDsChanOfdm:: OcdSetsRx: ( BcmCmDsChanOfdm ) hwRxId= <*> dcid= <*>,64
bd1f947f,BcmCmDsChanOfdm:: DetectOcdDpdGatheringPlcDone: ( BcmCmDsChanOfdm ) hwRxId= <*> dcid= <*> OCD/DPD gathered via PLC. install OCD settings.,64
175dd864,BcmCmDsChanOfdm:: OcdInstallOk: ( BcmCmDsChanOfdm ) hwRxId= <*> dcid= <*> OCD installed.,67
158db986,BcmCmDsOfdmProfileState:: InstallDpdSets: HwRxId= <*>: installing DPD for profile <*>,251
b435a8ee,BcmCmDsOfdmProfileState:: FecLockOk: hwRxId= <*> dcid= <*> profId= <*> ( <*> ),254
bb8eb675,"== Beginning initial ranging for Docsis UCID <*> ==, Minimum transmit power is <*> dBmV, Maximum transmit power is <*> dBmV, Dynamic Range Window is from <*>dBmV to <*> dBmV, Stored power level for UCID <*> is <*> dBmV, Using <*> <*> <*> initial upstream power = <*> dBmV hwTxId = <*> docsis UCID = <*>",747
036990b1,"BcmCmDocsisCtlThread:: DetectTccInstallDone: ( CmDocsisCtlThread ), -> resume DBC transaction.",15
f7dbfbe4,Sent DBC-RSP ( trans. id= <*> ): conf code= okay / success,3
32c1ae88,Received DBC-ACK ( trans. id= <*> ): time between dbc-req/ack= <*> ms,3
b90344c4,Telling application we lost lock on QAM primary channel <*>,13
69ab7cde,"Clearing D31 PowerSave., DS: <*> SC-QAM ( <*> ), <*> OFDM ( <*> ), US: <*> SC-QAM ( <*> ), <*> OFDMA ( <*> )",3
2d2b6251,ng...,3
22d6782b,BcmCmDsChan:: DsLockFail: ( BcmCmDsChan <*> ) hwRxId= <*> dcid= <*> -> enter kDsOperLockToRescueCmts state,491
82f74f80,BcmCmDsChan:: RecoverChan: ( BcmCmDsChan <*> ) retry -> hwRxId= <*> freq= <*> dcid= <*>,658
82b1a49e,Scanning DS Channel at <*> Hz...,78
0ca3763a,BcmCmDsChan:: DsLockFail: ( BcmCmDsChan <*> ) restart 'lock to rescue CMTS retry' timer,72
4df6cac3,Telling application we lost lock on channel <*> ( lostbits= <*> ),15
7a78d775,BcmDocsisCmHalIf:: HandleStatusIndication: ( DOCSIS CableModem HalIf ) WARNING - <*> lost PLC Lock,15
788ce97d,BcmCmDsChanOfdm:: DsLockFail: ( BcmCmDsChanOfdm ) hwRxId= <*> freq= <*> dcid= <*>,171
c62e9d36,BcmCmDsOfdmProfileState:: FecLockFail: hwRxId= <*> dcid= <*> profId= <*> ( <*> ),80
fea46086,BcmCmDsChanOfdm:: RecoverPlc: ( BcmCmDsChanOfdm ) retry -> hwRxId= <*> freq= <*> dcid= <*>,169
dcea8608,BcmCmDsChan:: LockToRescueCmtsRetryTimerEvent: ( BcmCmDsChan <*> ) retry recovery for active primary channel,68
c481c3c2,Telling application we lost lock on QAM channel <*>,476
3e1ca573,BcmCmDsChan:: MddKeepAliveFailTrans: ( BcmCmDsChan <*> ) hwRxId= <*> dcid= <*>,375
02d3a173,Logging event: MDD message timeout; CM-MAC= <*>; CMTS-MAC= <*>; CM-QOS= <*>; CM-VER= <*>;,392
2c8aa591,OFDM channel <*> Profile A marked BAD due to <*> out of the last <*> ms intervals containing uncorrectable codewords,12
84e5829e,BcmCmDsChanOfdm:: MddKeepAliveFailTrans: ( BcmCmDsChanOfdm ) hwRxId= <*> dcid= <*>,18
51c5ad8f,BcmCmUsChanTimerMuxACT:: HandleEvent() @time= <*> fTimerType= <*> ( <*> ) hwTxId= <*> docs ucid= <*>,888
2fc6ea2f,BcmCmUsRangingState:: T4NoStationMaintEvent: ERROR - no Station Maint map op error. hwTxId= <*> docs ucid= <*>,95
430b6239,BcmCmUsRangingState:: CommonRngErrorHandler: reason= <*> ( <*> ) hwTxId= <*> docs ucid= <*>,642
06a73638,BcmCmUsRangingState:: RcvrTccReplace: starting TCC replace recovery strategy for hwTxId= <*> docs ucid= <*>,535
9860bcae,"Logging event: Received Response to Broadcast Maintenance Request, But no Unicast Maintenance opportunities received - T4 time out; CM-MAC= <*>; CMTS-MAC= <*>; CM-QOS= <*>; CM-VER= <*>;",96
bb0dcca2,No timestamps on channel.,5
552d7db9,Performing full reset on TCOFDM core <*>..,434
d3073cec,"BcmCmMultiUsHelper:: DetectDeadInWaterPrimaryUsSvcFlow: ( Cm Multi US Helper ) ERROR -, zero ucid associated with primary upstream service flow are able to tx data.",10
2795c679,"CM Multi US Helper info:, fUcdGatherState = <*> ( <*> ), TotalNumOfUsChans() = <*>, NumActiveUsChans() = <*>, fCmTccInstallState = <*> ( <*> ), fUsTimeWarpInProg = <*>, fDynamicRangeWindowQtrDb = <*>",10
a3d3e790,Partial Service Upstream Channels:,22
8e230535,"CM Upstream channel info:, fHwTxId = <*>, UsChannelFreqHz = <*>, UsChannelPwrdBmv = <*>, fIsOfdmaChannel = <*>, TargetUsChanId() = <*>, fRngSid = <*>, fCmTccCmdInstallState = <*> ( <*> ), Upstream settings state info:, fUcdSetsState = <*> ( <*> ), fUsTimeRefState = <*> ( <*> ), UsPhyType() = <*> ( Type <*> ( DOCSIS <*> )), IsScdmaModeEnabled() = <*>, Ranging state info:, fRngMode = <*> ( <*> ), fRngMsgTxRxState = <*> ( <*> ), fUnicastRngOpState = <*> ( <*> ), fRxRngRspState = <*> ( <*> ), fRngSuccess = <*>, fLastRngRspStatus = <*> ( <*> ), RngReqDrwStatus = <*> ( <*> ), AccumTimingAdjTicksDiv64 = <*>, fTmRngReqSentMlsec = <*>, fTmT3NoRngRspStdMlsec = <*>, fTmT4NoUnicastRngOpStdMlsec = <*>, fT4NoStationMntPeriodMlsec = <*>, fTmRngRspMlsec = <*>, fTmT2NoBcastRngOpStdMlsec = <*>, now = <*>",92
efb94909,"CM Upstream channel info:, fHwTxId = <*>, UsChannelFreqHz = <*>, UsChannelPwrdBmv = <*>, fIsOfdmaChannel = <*>, TargetUsChanId() = <*>, fRngSid = <*>, fCmTccCmdInstallState = <*> ( <*> ), Upstream settings state info:, fUcdSetsState = <*> ( <*> ), fUsTimeRefState = <*> ( <*> ), UsPhyType() = <*> ( Type <*> ( DOCSIS <*> )), OFDMA Data Profile IUCs = <*>, Ranging state info:, fRngMode = <*> ( <*> ), fRngMsgTxRxState = <*> ( <*> ), fUnicastRngOpState = <*> ( <*> ), fRxRngRspState = <*> ( <*> ), fRngSuccess = <*>, fLastRngRspStatus = <*> ( Continue ), RngReqDrwStatus = <*> ( <*> ), AccumTimingAdjTicksDiv64 = <*>, fTmRngReqSentMlsec = <*>, fTmT3NoRngRspStdMlsec = <*>, fTmT4NoUnicastRngOpStdMlsec = <*>, fT4NoStationMntPeriodMlsec = <*>, fTmRngRspMlsec = <*>, fTmT2NoBcastRngOpStdMlsec = <*>, now = <*>",16
db92c6d6,"BcmCmSidClusterHelper info:, fSidClstrInstallMode = <*> ( <*> ), Current Sfid to Ucid Association Set: set size = <*>, sfid ucid set",10
09ebb33a,"What If Sfid to Ucid Association Set: set size = <*>, sfid ucid set",3
982008a9,BcmCmUsRangingState:: CommonRngErrorHandler: all pri us svc flow tx chan are down. -> restart error!,10
985c33fc,Disabling SNMP link status checking.,11
d071460c,BcmCmDocsisCtlThread:: SyncRestartErrorEvent: ( CmDocsisCtlThread ) reinit MAC # <*>: <*>,24
cf7849a7,Vendor CM Agent w/ BRCM Factory Support resetting to default state.,71
c985caa8,Vendor CM Agent w/ BRCM Factory Support destroying <*>,213
8888fc3d,Allowing DOCS-CABLE-DEVICE-MIB IP filters.,71
b6ad3257,Vendor CM Agent w/ BRCM Factory Support disabling management.,40
da55bd85,Vendor CM Agent w/ BRCM Factory Support deferring traps.,71
dabd2a3d,CmSnmpAgent disabling management,40
